日期2,收盘,开盘,高,低,交易量,涨跌幅,日期
2022/2/23,336970,336500,339190,335860,26.90K,-0.0048,20220223
2022/2/22,338580,337000,341420,336200,33.30K,0.0014,20220222
2022/2/21,338120,337610,340920,335570,38.33K,0.0026,20220221
2022/2/18,337250,333010,340290,333010,42.87K,0.01,20220218
2022/2/17,333920,334100,336200,331690,37.41K,0.0028,20220217
2022/2/16,332990,333870,334900,331270,33.26K,0.002,20220216
2022/2/15,332330,334250,334660,330000,0.44K,-0.0107,20220215
2022/2/14,335920,337500,338810,333500,0.67K,-0.0161,20220214
2022/2/11,341410,342300,343500,337500,0.40K,0.0072,20220211
2022/2/10,338960,335500,341800,332980,2.71K,0.0147,20220210
2022/2/9,334060,336050,337370,329500,1.49K,-0.0073,20220209
2022/2/8,336530,335520,338060,334700,1.28K,0.0013,20220208
2022/2/7,336100,338210,340400,332320,1.03K,0.0145,20220207
2022/1/28,331280,333440,335990,327400,5.87K,-0.0013,20220128
2022/1/27,331720,325590,336340,325590,10.40K,0.0245,20220127
2022/1/26,323800,319580,327450,319580,12.43K,-0.0006,20220126
2022/1/25,324010,327500,328570,317690,33.26K,-0.0353,20220125
2022/1/24,335860,332450,341250,330840,50.18K,0.0097,20220124
2022/1/21,332640,332300,337870,327500,55.73K,0.008,20220121
2022/1/20,329990,318810,340760,318810,87.27K,0.0379,20220120
2022/1/19,317950,317600,319870,315310,47.11K,0.0118,20220119
2022/1/18,314230,308080,319700,307400,68.32K,-0.0111,20220118
2022/1/17,317750,316000,321300,315180,0.15K,0.0042,20220117
2022/1/14,316430,315000,320980,312600,0.19K,-0.0133,20220114
2022/1/13,320690,326400,327140,316510,0.32K,0.0058,20220113
2022/1/12,318850,310270,328010,310000,1.61K,0.0316,20220112
2022/1/11,309090,308530,310070,306800,0.92K,0.0027,20220111
2022/1/10,308250,309500,310270,306520,0.82K,0.0031,20220110
2022/1/7,307300,305480,308250,305200,1.02K,0.0027,20220107
2022/1/6,306480,306460,307470,305520,0.70K,0.0027,20220106
2022/1/5,305660,302500,308090,301900,0.91K,0.0158,20220105
2022/1/4,300900,304760,305180,299700,1.46K,-0.0076,20220104
2021/12/31,303190,302460,305900,301090,3.70K,0.011,20211231
2021/12/30,299890,295890,302650,295800,6.09K,0.0144,20211230
2021/12/29,295630,295800,297190,293500,6.00K,0.0035,20211229
2021/12/28,294600,292310,295970,292310,7.69K,0.0061,20211228
2021/12/27,292810,291150,312680,290510,17.14K,0.0109,20211227
2021/12/24,289640,286500,292430,286500,27.64K,0.011,20211224
2021/12/23,286480,286500,287600,285140,22.85K,0.0013,20211223
2021/12/22,286120,283800,288000,283800,28.38K,0.0063,20211222
2021/12/21,284320,282600,285820,282500,33.58K,0.0047,20211221
2021/12/20,283000,284640,285150,280610,43.94K,-0.0056,20211220
2021/12/17,284590,281400,286720,281380,43.24K,0.0188,20211217
2021/12/16,279340,280000,283780,275380,63.55K,-0.0439,20211216
2021/12/15,292170,291020,293810,290780,0.11K,-0.0069,20211215
2021/12/14,294200,292410,294500,292410,0.13K,0.0002,20211214
2021/12/13,294140,295230,295230,292380,0.09K,0.0029,20211213
2021/12/10,293280,292440,295600,292000,0.95K,0.0066,20211210
2021/12/9,291360,291000,292490,290200,0.47K,0.0006,20211209
